2025-12-11 14:38:54.355 UTC [25] LOG:  checkpoint starting: time
2025-12-11 14:38:59.012 UTC [25] LOG:  checkpoint complete: wrote 47 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.632 s, sync=0.017 s, total=4.657 s; sync files=37, longest=0.003 s, average=0.001 s; distance=164 kB, estimate=164 kB; lsn=0/1559F10, redo lsn=0/1559E80
2025-12-11 14:48:54.211 UTC [25] LOG:  checkpoint starting: time
2025-12-11 14:48:54.529 UTC [25] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.307 s, sync=0.005 s, total=0.319 s; sync files=4, longest=0.003 s, average=0.001 s; distance=2 kB, estimate=148 kB; lsn=0/155A7D8, redo lsn=0/155A780
2025-12-11 15:52:16.990 UTC [26614] ERROR:  relation "equipment" does not exist at character 399
2025-12-11 15:52:16.990 UTC [26614] STATEMENT:  select "id", "created_by", "brand", "model", "category", "condition", "asking_price", "location", "description", "images", "documents", "specifications", "listing_status", "market_price_range", "price_source", "price_breakdown", "ai_analysis_data", "saved_marketplace_listings", "saved_internal_matches", "saved_search_results", "auction_references", "views_count", "created_at", "updated_at" from "equipment" where "equipment"."listing_status" = $1 order by "equipment"."created_at" desc
2025-12-11 15:53:55.822 UTC [25] LOG:  checkpoint starting: time
2025-12-11 15:53:56.139 UTC [25] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.305 s, sync=0.003 s, total=0.317 s; sync files=4, longest=0.001 s, average=0.001 s; distance=2 kB, estimate=133 kB; lsn=0/155B220, redo lsn=0/155B1C8
2025-12-11 16:48:56.237 UTC [25] LOG:  checkpoint starting: time
2025-12-11 16:48:57.365 UTC [25] LOG:  checkpoint complete: wrote 12 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.113 s, sync=0.008 s, total=1.128 s; sync files=10, longest=0.002 s, average=0.001 s; distance=113 kB, estimate=131 kB; lsn=0/1578C18, redo lsn=0/15775E0
2025-12-11 16:53:56.465 UTC [25] LOG:  checkpoint starting: time
2025-12-11 16:53:57.282 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.808 s, sync=0.005 s, total=0.818 s; sync files=7, longest=0.001 s, average=0.001 s; distance=253 kB, estimate=253 kB; lsn=0/15B8150, redo lsn=0/15B6CD0
2025-12-11 16:58:56.382 UTC [25] LOG:  checkpoint starting: time
2025-12-11 16:58:57.199 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.806 s, sync=0.004 s, total=0.818 s; sync files=7, longest=0.002 s, average=0.001 s; distance=251 kB, estimate=253 kB; lsn=0/15F6CE0, redo lsn=0/15F5AC0
2025-12-11 17:03:56.299 UTC [25] LOG:  checkpoint starting: time
2025-12-11 17:03:57.123 UTC [25] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.807 s, sync=0.009 s, total=0.825 s; sync files=7, longest=0.002 s, average=0.002 s; distance=240 kB, estimate=252 kB; lsn=0/1632A58, redo lsn=0/1631E20
2025-12-11 17:08:56.223 UTC [25] LOG:  checkpoint starting: time
